page_a,page_b,first_pass_reason,second_verdict,second_evidence,confidence,classification,reach,tier,licence_ground,resolved_page_b,page_b_source,name_a,name_b,exception_classes,corpus_confirms,existing_relations,first_pass_actions
K1:U38V3ZVV3V,K1:91O4LML611,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,R4z shared parent VTLYFUHAOXGGBS has 0 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:91O4LML611,page_b,Ferric Cation,Ferric Chloride,,structure_conflict; moiety_match; fragment_match,related_form_of,
K1:V1XJQ704R4,K1:8CBV67279L,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,R4z shared parent JPVYNHNXODAKFH has 0 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:8CBV67279L,page_b,Cupric Cation,Cupric Oxide,,structure_conflict; moiety_match; fragment_match,related_form_of,
K1:V7OK6J19HQ,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:RH248G8V27 -> K1:V7OK6J19HQ; the two names denote one live page (Gadopentetate),high,NOT-LICENSED,rest,2,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Gadopentetate,,,,,
K1:V867Q8X3ZD,K1:XF417D3PSL,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6 the GSRS record on K1:V867Q8X3ZD is a mixed salt whose active moiety is Diethylcarbamazine (V867Q8X3ZD); Anhydrous Citric Acid is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high,LICENSED-SEPARATE,band,2,a separate verdict leaves both pages exactly as they are,K1:XF417D3PSL,page_b,Diethylcarbamazine,Anhydrous Citric Acid,,structure_conflict,related_form_of,remainder
K1:V99T50803M,K1:J3TZF807X5,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6 the GSRS record on K1:V99T50803M is a mixed salt whose active moiety is Sunitinib (V99T50803M); Malic Acid is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:J3TZF807X5,page_b,Malic Acid,Sunitinib,,structure_conflict,related_form_of,
K1:W108RK810P,K1:R4R8J0Q44B,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",merge,R5 FDA active moiety: GSRS gives Gluconic Acid (R4R8J0Q44B) as the active moiety of FERRIC GLUCONATE TRIHYDRATE,medium,NOT-LICENSED,rest,2,a merge at medium confidence,K1:R4R8J0Q44B,page_b,Gluconic Acid,FERRIC GLUCONATE TRIHYDRATE,,structure_conflict; moiety_match,related_form_of,
K1:W53L6FE61V,K1:91XW058U2C,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6 the GSRS record on K1:W53L6FE61V is a mixed salt whose active moiety is Methylergometrine (W53L6FE61V); MALEIC ACID is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high,LICENSED-SEPARATE,band,2,a separate verdict leaves both pages exactly as they are,K1:91XW058U2C,page_b,MALEIC ACID,Methylergometrine,,structure_conflict,related_form_of,
K1:W6HS99O8ZO,K1:W4888I119H,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6 the GSRS record on K1:W6HS99O8ZO is a mixed salt whose active moiety is Varenicline (W6HS99O8ZO); TARTARIC ACID is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high,LICENSED-SEPARATE,band,2,a separate verdict leaves both pages exactly as they are,K1:W4888I119H,page_b,TARTARIC ACID,Varenicline,,structure_conflict,related_form_of,
K1:WHE7A56U7K,K1:W4888I119H,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6 the GSRS record on K1:WHE7A56U7K is a mixed salt whose active moiety is Tolterodine (WHE7A56U7K); TARTARIC ACID is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high,LICENSED-SEPARATE,band,2,a separate verdict leaves both pages exactly as they are,K1:W4888I119H,page_b,TARTARIC ACID,Tolterodine,,structure_conflict,related_form_of,
K1:WZB719DDER,K4:chromic,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies",separate,"R9b 'Chromic Bromide' names an element, a cation or an oxidation state, not a moiety; §3.1a refuses a merge between it and Chromic",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K4:chromic,page_b,Chromic Bromide,Chromic,,,,review
K1:X49220T18G,K1:88XHZ13131,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6 the GSRS record on K1:X49220T18G is a mixed salt whose active moiety is Ketotifen (X49220T18G); Fumaric Acid is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:88XHZ13131,page_b,Fumaric Acid,Ketotifen,,structure_conflict,related_form_of,
K1:XG9ARL6P25,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:U93HYZ4QU8 -> K1:XG9ARL6P25; the two names denote one live page (Plozasiran),high,NOT-LICENSED,rest,2,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Plozasiran,,,,,
K1:XG9ARL6P25,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:U93HYZ4QU8 -> K1:XG9ARL6P25; the two names denote one live page (Plozasiran),high,NOT-LICENSED,rest,2,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Plozasiran,,,,,
K1:XM33Q67UVH,K1:5WBR90FN3H,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6a GSRS names Fosveset as the parent substance of GADOFOSVESET TRISODIUM, but it records the active moiety as Gadolinium cation (3+) (AZV954TZ9N); the counter-ion is the substance being recorded",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:5WBR90FN3H,page_b,Fosveset,GADOFOSVESET TRISODIUM,,structure_conflict; moiety_match,related_form_of,
K1:XWV9Z12C1C,K1:MG976Z29OM,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6a GSRS names Glyceryl Phosphate as the parent substance of CALCIUM GLYCEROPHOSPHATE, but it records the active moiety as CALCIUM CATION (2M83C4R6ZB); the counter-ion is the substance being recorded",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:MG976Z29OM,page_b,Glyceryl Phosphate,CALCIUM GLYCEROPHOSPHATE,,structure_conflict; moiety_match,related_form_of,
K1:XWV9Z12C1C,K1:WWH06G87W6,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6a GSRS names Glyceryl 2-PHOSPHATE as the parent substance of CALCIUM GLYCEROPHOSPHATE, but it records the active moiety as CALCIUM CATION (2M83C4R6ZB); the counter-ion is the substance being recorded",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:WWH06G87W6,page_b,Glyceryl 2-PHOSPHATE,CALCIUM GLYCEROPHOSPHATE,,structure_conflict,related_form_of,
K1:XZA9HY6Z98,K1:91XW058U2C,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6 the GSRS record on K1:XZA9HY6Z98 is a mixed salt whose active moiety is Methysergide (XZA9HY6Z98); MALEIC ACID is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:91XW058U2C,page_b,MALEIC ACID,Methysergide,,structure_conflict,related_form_of,
K1:Y6O7T4G8P9,K1:ETJ7Z6XBU4,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R9a two separately registered FDA substances: Hydrated Silica ['Y6O7T4G8P9'] and SILICON DIOXIDE ['ETJ7Z6XBU4'], preferred names HYDRATED SILICA and Silicon dioxide; neither is a salt, solvate or stereo form of the other by name or by structure",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:ETJ7Z6XBU4,page_b,SILICON DIOXIDE,Hydrated Silica,,structure_conflict,related_form_of,
K1:YG391PK0CC,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:10R1YC115A -> K1:YG391PK0CC; the two names denote one live page (Zilucoplan),high,NOT-LICENSED,band,2,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Zilucoplan,,,,,
K1:YG391PK0CC,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:10R1YC115A -> K1:YG391PK0CC; the two names denote one live page (Zilucoplan),high,NOT-LICENSED,band,2,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Zilucoplan,,,,,
K1:YHP6YLT61T,K1:91XW058U2C,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6 the GSRS record on K1:YHP6YLT61T is a mixed salt whose active moiety is Prochlorperazine (YHP6YLT61T); MALEIC ACID is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high,LICENSED-SEPARATE,band,2,a separate verdict leaves both pages exactly as they are,K1:91XW058U2C,page_b,MALEIC ACID,Prochlorperazine,,structure_conflict,related_form_of,
K1:Z56D82TX8V,K1:30KYC7MIAI,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6a GSRS names Aspartic acid as the parent substance of FERROUS ASPARTATE, but it records the active moiety as FERROUS CATION (GW89581OWR); the counter-ion is the substance being recorded",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:30KYC7MIAI,page_b,Aspartic acid,FERROUS ASPARTATE,,structure_conflict; moiety_match,related_form_of,
K1:Z8E46IA45W,K3:CHEMBL2109130,the evidence links the two pages but no rule in the spec's order decides them,separate,R9 no shared identifier and no structure pair to compare (Technetium TC-99M Albumin Aggregated vs Macrosalb (131i)); UNIIs ['Z8E46IA45W'] vs none,low,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K3:CHEMBL2109130,page_b,Technetium TC-99M Albumin Aggregated,Macrosalb (131i),isotopologue,,,remainder
K1:ZD4D8M32TL,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:Y30VEG5PH1 -> K1:ZD4D8M32TL; the two names denote one live page (DONIDALORSEN),high,NOT-LICENSED,rest,2,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,DONIDALORSEN,,,,,
K1:ZD4D8M32TL,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:Y30VEG5PH1 -> K1:ZD4D8M32TL; the two names denote one live page (DONIDALORSEN),high,NOT-LICENSED,rest,2,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,DONIDALORSEN,,,,,
K1:ZRW631PTZD,K1:W4888I119H,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R9b 'FERROUS TARTRATE' names an element, a cation or an oxidation state, not a moiety; §3.1a refuses a merge between it and TARTARIC ACID",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:W4888I119H,page_b,TARTARIC ACID,FERROUS TARTRATE,,structure_conflict,related_form_of,
K1:ZS7284E0ZP,K1:XF417D3PSL,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6 the GSRS record on K1:ZS7284E0ZP is a mixed salt whose active moiety is Daunorubicin (ZS7284E0ZP); Anhydrous Citric Acid is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high,LICENSED-SEPARATE,band,2,a separate verdict leaves both pages exactly as they are,K1:XF417D3PSL,page_b,Anhydrous Citric Acid,Daunorubicin,,structure_conflict,related_form_of,
K2:MTMGAHSPYQRCFL-RNLOPGSRSA-N,K3:CHEMBL1201664,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies",merge,"R7y identical name 'Insulin Aspart Protamine Recombinant' and only one page holds a structure, so nothing contradicts the shared name; UNIIs none / none, substance classes [] / []",low,NOT-LICENSED,rest,2,a merge at low confidence,K3:CHEMBL1201664,page_b,Insulin Aspart Protamine Recombinant,INSULIN ASPART PROTAMINE RECOMBINANT,,,,review
K3:CHEMBL5314650,K4:technetium tc 99m labeled carbon,same normalised name and no structure on either page; the identity rules give no evidence that decides them,merge,"R7y identical name 'TECHNETIUM TC-99M LABELED CARBON' and no structure on either page; UNIIs none / none, substance classes [] / []",low,NOT-LICENSED,rest,2,a merge at low confidence,K4:technetium tc 99m labeled carbon,page_b,TECHNETIUM TC-99M LABELED CARBON,Technetium Tc-99m Labeled Carbon,isotopologue,,,review
"COMBO:{K1:1EQV5MLY3D,K1:8ID597Z82X}","COMBO:{K1:8ID597Z82X,K1:E524N2IXA3}","two combination records share an identifier but not their component sets; §3.7 keys a combination by its components, so they are different products unless a component merge makes the sets equal",separate,"RC different products under §3.7: COMBO:{K1:1EQV5MLY3D,K1:8ID597Z82X} adds Taurine, COMBO:{K1:8ID597Z82X,K1:E524N2IXA3} adds Ornithine",high,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,"COMBO:{K1:8ID597Z82X,K1:E524N2IXA3}",page_b,Taurine Alpha-Ketoglutarate,ORNITHINE OXOGLURATE,combination,same_full_inchikey,,remainder
"COMBO:{K1:1EQV5MLY3D,K1:8ID597Z82X}","COMBO:{K1:8ID597Z82X,K1:MU72812GK0}","two combination records share an identifier but not their component sets; §3.7 keys a combination by its components, so they are different products unless a component merge makes the sets equal",separate,"RC different products under §3.7: COMBO:{K1:1EQV5MLY3D,K1:8ID597Z82X} adds Taurine, COMBO:{K1:8ID597Z82X,K1:MU72812GK0} adds Creatine",high,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,"COMBO:{K1:8ID597Z82X,K1:MU72812GK0}",page_b,Taurine Alpha-Ketoglutarate,Creatine Alpha-Ketoglutarate,combination,same_full_inchikey,,remainder
"COMBO:{K1:8ID597Z82X,K1:E524N2IXA3}","COMBO:{K1:8ID597Z82X,K1:MU72812GK0}","two combination records share an identifier but not their component sets; §3.7 keys a combination by its components, so they are different products unless a component merge makes the sets equal",separate,"RC different products under §3.7: COMBO:{K1:8ID597Z82X,K1:E524N2IXA3} adds Ornithine, COMBO:{K1:8ID597Z82X,K1:MU72812GK0} adds Creatine",high,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,"COMBO:{K1:8ID597Z82X,K1:MU72812GK0}",page_b,ORNITHINE OXOGLURATE,Creatine Alpha-Ketoglutarate,combination,same_full_inchikey,,remainder
HOLD:existing:pregnenolone,K1:73R90F7MQ8,the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,form_of,"R1x §3.2 exception to the shared UNII 73R90F7MQ8: the structure on HOLD:existing:pregnenolone is GSRS PREGNENOLONE SUCCINATE (6LN4W6JJK6), one covalent molecule that adds succinate to PREGNENOLONE. An ester or acyl derivative is a distinct substance, so the pages split and link",high,NOT-LICENSED,rest,3,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",K1:73R90F7MQ8,page_b,Pregnenolone,PREGNENOLONE,ester,same_unii; structure_conflict; moiety_match,,remainder
K1:015582E098,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:F3H59ON671 -> K1:015582E098; the two names denote one live page (Atesidorsen),high,NOT-LICENSED,rest,3,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Atesidorsen,,,,,
K1:02I89C6K47,K4:cynanchum otophyllum,the evidence links the two pages but no rule in the spec's order decides them,separate,R9c Cynanchum Otophyllum Whole and Cynanchum Otophyllum are different registered preparations of one organism (whole); §2 K4 merges only on exact name-family equality and these two families are not equal,medium,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K4:cynanchum otophyllum,page_b,Cynanchum Otophyllum Whole,Cynanchum Otophyllum,,,,remainder
K1:05780F90V3,K1:327C7L2BXQ,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons RQEUFEKYXDPUSK vs BHHGXPLMPWCGHP; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K1:327C7L2BXQ,page_b,"1-PHENETHYLAMINE, (-)-",Phenethylamine,,structure_conflict,,remainder
K1:0867I0N41V,K1:185QAE24TR,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons GJJVAFUKOBZPCB vs OTXNTMVVOOBZCV; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K1:185QAE24TR,page_b,TOCOTRIENOL,GAMMA-TOCOTRIENOL,,structure_conflict,,remainder
K1:0CF4C9C787,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:D8IRN5V2N6 -> K1:0CF4C9C787; the two names denote one live page (FESOMERSEN),high,NOT-LICENSED,rest,3,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,FESOMERSEN,,,,,
K1:0JD5QG20W5,K1:5CSZ8459RP,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons WBAXSXXYPPILCT vs UHDGCWIWMRVCDJ; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K1:5CSZ8459RP,page_b,5'-DEOXY-5-FLUORO-N4-(2-METHYL-1-BUTYLOXYCARBONYL)CYTIDINE,CYTIDINE,,structure_conflict,,remainder
K1:0P49L952WZ,K4:andrographis paniculata,the evidence links the two pages but no rule in the spec's order decides them,separate,R9c Andrographis Paniculata Whole and Andrographis Paniculata are different registered preparations of one organism (whole); §2 K4 merges only on exact name-family equality and these two families are not equal,medium,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K4:andrographis paniculata,page_b,Andrographis Paniculata Whole,Andrographis Paniculata,,,,remainder
K1:0TUL3ENK62,K1:WB09NY83YA,the evidence links the two pages but no rule in the spec's order decides them,separate,"R9a two separately registered FDA substances: 2-BUTANOL ['0TUL3ENK62'] and Butanol ['WB09NY83YA'], preferred names 2-Butanol and BUTANOL (MIXED ISOMERS); neither is a salt, solvate or stereo form of the other by name or by structure (the shared UNII WB09NY83YA sits in a page unii field, not in either page key, and is the known Inxight join defect)",high,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K1:WB09NY83YA,page_b,2-BUTANOL,Butanol,,structure_conflict,,remainder
K1:185M5I2ZZN,K1:4A5OM7PI18,same normalised name and no structure on either page; the identity rules give no evidence that decides them,merge,R7 §3.1/§3.1a salt or hydrate on the register's printed name: TOLEVAMER POTASSIUM SODIUM = TOLEVAMER SODIUM + potassium,medium,NOT-LICENSED,rest,3,a merge at medium confidence,K1:4A5OM7PI18,page_b,TOLEVAMER SODIUM,TOLEVAMER POTASSIUM SODIUM,,,,review
K1:1BT0256Y8O,K1:FML65D8PY5,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons OUGIDAPQYNCXRA vs VFMMPHCGEFXGIP; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K1:FML65D8PY5,page_b,BETA-NAPHTHOFLAVONE,Alpha-Naphthoflavone,,structure_conflict,,remainder
K1:21M14KDA67,K1:L65MV77ZG6,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons WUOACPNHFRMFPN vs WRYLYDPHFGVWKC; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K1:L65MV77ZG6,page_b,Alpha-Terpineol,"4-TERPINEOL, (+/-)-",,structure_conflict,,remainder
K1:256UZ34AF2,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:HX4CRZ94FC -> K1:256UZ34AF2; the two names denote one live page (Imdusiran),high,NOT-LICENSED,rest,3,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Imdusiran,,,,,
K1:2855UV552L,K1:NV1779205D,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons SJWFXCIHNDVPSH vs KBPLFHHGFOOTCA; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K1:NV1779205D,page_b,"2-OCTANOL, (2S)-",Caprylic Alcohol,,structure_conflict,,remainder
K1:2D5MRE3SSY,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:945CRJ0XZ0 -> K1:2D5MRE3SSY; the two names denote one live page (Timbetasin),high,NOT-LICENSED,rest,3,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Timbetasin,,,,,
K1:2H47U2SBVO,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:PX4Q8LA7G6 -> K1:2H47U2SBVO; the two names denote one live page (Tivanisiran),high,NOT-LICENSED,rest,3,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Tivanisiran,,,,,
K1:2L9GJK6MGN,K1:Y77501141O,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons ZUOUZKKEUPVFJK vs WVIIMZNLDWSIRH; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K1:Y77501141O,page_b,BIPHENYL,Bicyclohexyl,,structure_conflict,,remainder
K1:309713XSKW,K1:91XW058U2C,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,R8s the two held structures settle it: different skeletons CVKJAXCQPFOAIN vs VZCYOOQTPOCHFL; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K1:91XW058U2C,page_b,Cipralisant,MALEIC ACID,,structure_conflict,related_form_of,remainder
K1:31N550RD05,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:S6A2UYH57V -> K1:31N550RD05; the two names denote one live page (Danvatirsen),high,NOT-LICENSED,rest,3,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Danvatirsen,,,,,
K1:328101264R,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:WWI522K8NY -> K1:328101264R; the two names denote one live page (Cobitolimod),high,NOT-LICENSED,rest,3,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Cobitolimod,,,,,
K1:378RL020QM,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:7EL4K2K27P -> K1:378RL020QM; the two names denote one live page (Afovirsen),high,NOT-LICENSED,rest,3,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Afovirsen,,,,,
K1:3FPU23BG52,K1:U6Z9ZSG4XG,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons YXFVVABEGXRONW vs PCHRJGRKKJOULQ; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K1:U6Z9ZSG4XG,page_b,TOLUENE,(((3Z)-3-HEXENYLOXY)METHYL)BENZENE,,structure_conflict,,remainder
K1:3JKW7CI9IU,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:27193E2Y44 -> K1:3JKW7CI9IU; the two names denote one live page (Cobomarsen),high,NOT-LICENSED,rest,3,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Cobomarsen,,,,,
K1:3RJ6WVX57J,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:YU6F4W95PG -> K1:3RJ6WVX57J; the two names denote one live page (Lefelsiran),high,NOT-LICENSED,rest,3,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Lefelsiran,,,,,
K1:3VNC7T6Z02,K1:SA8AR2W4ER,the evidence links the two pages but no rule in the spec's order decides them,separate,R9c Matricaria Chamomilla Flowering Top Oil and Matricaria Chamomilla Flowering Top are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K1:SA8AR2W4ER,page_b,Matricaria Chamomilla Flowering Top,Matricaria Chamomilla Flowering Top Oil,,,,remainder
K1:48OVY2OC72,K1:935XD1L5K2,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons XHTRYVMKFMUJLU vs GCPXMJHSNVMWNM; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K1:935XD1L5K2,page_b,SODIUM ARSENITE,Arsenous Acid,,structure_conflict,,remainder
K1:4G1MLN2EKF,K1:PE152PYI6M,a merge chain would join two pages that an exception class keeps separate; the whole chain is held for the second opinion,separate,"R4y both are salts of JVTAAEKCZFNVCJ; neither page is that parent moiety; §3.1 merges a salt into its parent, and that parent is not either of these two pages",high,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K1:PE152PYI6M,page_b,"MAGNESIUM LACTATE DIHYDRATE, L- (structure KSHMINBVGAHXNS)","MAGNESIUM LACTATE, L- (structure OVGXLJDWSLQDRT)",,structure_conflict,,disambiguate
